Title,Release Date,Developer,Publisher,Genres,Product Rating,User Score,User Ratings Count,Platforms ,Platform Metascores,Platform Metascore Counts
Phalanx,27/12/2001,Kemco,Kemco,Horizontal Shoot-'Em-Up,Rated E For Everyone,6.894852313,,Game Boy Advance,71,Based on 8 Critic Reviews
Battlefield 2142,17/10/2006,EA DICE,EA Games,FPS,Rated T For Teen,7.5,183,PC,80,Based on 48 Critic Reviews
The Last Express,27/9/2012,DotEmu,DotEmu,Adventure,Not Rated,7.5,11,"PC, iOS (iPhone/iPad)","82, 90","Based on 8 Critic Reviews, Based on 9 Critic Reviews"
Jak 3,9/11/2004,Naughty Dog,SCEA,3D Platformer,Rated T For Teen,8.8,419,PlayStation 2,84,Based on 55 Critic Reviews
Ib,9/3/2023,Kouri,Playism,Survival,Rated T For Teen,8,13,Nintendo Switch,82,Based on 11 Critic Reviews
Shantae and the Pirate's Curse,23/10/2014,WayForward,WayForward,2D Platformer,Rated E +10 For Everyone +10,8.6,139,"3DS, Wii U, PC, Xbox One, PlayStation 4, Nintendo Switch, PlayStation 5","82, 85, tbd, 79, 75, 86, tbd","Based on 18 Critic Reviews, Based on 10 Critic Reviews, Based on 2 Critic Reviews, Based on 8 Critic Reviews, Based on 8 Critic Reviews, Based on 11 Critic Reviews, Based on 1 Critic Review"
Mario Tennis: Power Tour,5/12/2005,Camelot Software Planning,Nintendo,Tennis,Rated E For Everyone,8.5,39,Game Boy Advance,81,Based on 21 Critic Reviews
DESYNC,28/2/2017,Foregone,Adult Swim,FPS,Not Rated,7.1,17,PC,69,Based on 18 Critic Reviews
Cat Girl Without Salad: Amuse-Bouche,1/4/2020,WayForward,WayForward,Horizontal Shoot-'Em-Up,Rated E +10 For Everyone +10,6.894852313,,Nintendo Switch,63,Based on 9 Critic Reviews
Sonic Classic Collection,2/3/2010,Creative Assembly,Sega,Compilation,Rated E For Everyone,7.8,39,DS,70,Based on 24 Critic Reviews
Far Cry Primal,23/2/2016,Ubisoft Montreal,Ubisoft,FPS,Rated M For Mature,7,1267,"PlayStation 4, Xbox One, PC","76, 77, 74","Based on 95 Critic Reviews, Based on 28 Critic Reviews, Based on 19 Critic Reviews"
Nickelodeon Barnyard,4/12/2006,Blue Tongue Entertainment,THQ,Action,Rated E +10 For Everyone +10,8.3,7,"Wii, GameCube, PlayStation 2, Game Boy Advance, PC","65, 66, 62, 56, 67","Based on 15 Critic Reviews, Based on 12 Critic Reviews, Based on 13 Critic Reviews, Based on 8 Critic Reviews, Based on 4 Critic Reviews"
"Wallace & Gromit's Grand Adventures, Episode 2: The Last Resort",5/5/2009,Telltale Games,Telltale Games,Compilation,Rated E For Everyone,7.4,11,"PC, Xbox 360","72, 73","Based on 19 Critic Reviews, Based on 8 Critic Reviews"
NCAA March Madness 07,17/1/2007,EA Canada,EA Sports,Basketball Sim,Rated E For Everyone,6.894852313,,"PlayStation 2, Xbox 360","63, 67","Based on 9 Critic Reviews, Based on 33 Critic Reviews"
Project Nomads,1/11/2002,Radon Labs,cdv Software,Third-Person Adventure,Rated T For Teen,8.4,23,PC,62,Based on 13 Critic Reviews
Firewall Ultra,24/8/2023,First Contact Entertainment,Sony Interactive Entertainment,Tactical FPS,Rated T For Teen,4.3,362,PlayStation 5,61,Based on 23 Critic Reviews
GTR Evolution,1/9/2008,SimBin,Take-Two Interactive,Auto Racing Sim,Rated E For Everyone,6.9,42,PC,83,Based on 19 Critic Reviews
Codename: Outbreak,24/11/2001,GSC Game World,Virgin Interactive,FPS,Rated T For Teen,6.1,13,PC,55,Based on 10 Critic Reviews
Diaries of a Spaceport Janitor,16/9/2016,Sundae Month,tinyBuild,Virtual Career,Not Rated,8.9,3367,PC,69,Based on 7 Critic Reviews
Dragon Rage (2001),27/11/2001,3DO,3DO,Third Person Shooter,Rated T For Teen,4.6,5,PlayStation 2,50,Based on 9 Critic Reviews
Joint Operations: Typhoon Rising,15/6/2004,NovaLogic,NovaLogic,Tactical FPS,Rated T For Teen,7.7,25,PC,82,Based on 30 Critic Reviews
NEO: The World Ends with You,27/7/2021,h.a.n.d. Inc.,Square Enix,Action RPG,Rated T For Teen,8.1,139,"Nintendo Switch, PlayStation 4, PC","82, 80, 85","Based on 38 Critic Reviews, Based on 60 Critic Reviews, Based on 4 Critic Reviews"
Crisis on the Planet of the Apes VR,3/4/2018,Imaginati,FoxNext VR Studio,Light Gun,Rated M For Mature,2.1,11,"PC, PlayStation 4","54, 49","Based on 6 Critic Reviews, Based on 14 Critic Reviews"
Sword of the Stars,17/8/2006,Kerberos Productions,Lighthouse Interactive,Strategy,Rated E +10 For Everyone +10,7.9,20,PC,68,Based on 23 Critic Reviews
WWE SmackDown! vs. Raw 2006,14/11/2005,Yuke's,THQ,Wrestling,Rated T For Teen,8.2,86,"PSP, PlayStation 2","81, 84","Based on 30 Critic Reviews, Based on 45 Critic Reviews"
Dungeons & Dragons Tactics,14/8/2007,Kuju Entertainment,Atari SA,Turn-Based Strategy,Rated T For Teen,6.8,12,PSP,58,Based on 38 Critic Reviews
AI: The Somnium Files - nirvanA Initiative,24/6/2022,Spike Chunsoft,Spike Chunsoft,Action Adventure,Rated M For Mature,8.5,53,"Nintendo Switch, PC, Xbox One, PlayStation 4","84, 88, 84, 85","Based on 14 Critic Reviews, Based on 10 Critic Reviews, Based on 6 Critic Reviews, Based on 21 Critic Reviews"
Chinatown Detective Agency,7/4/2022,General Interactive Co.,Humble Games,Point-and-Click,Not Rated,5.1,14,"PC, Nintendo Switch, Xbox One","66, tbd, 68","Based on 23 Critic Reviews, Based on 3 Critic Reviews, Based on 5 Critic Reviews"
Bomberman Ultra,11/6/2009,Hudson,Hudson Entertainment,Action Puzzle,Rated E For Everyone,7.5,31,PlayStation 3,81,Based on 14 Critic Reviews
Commandos 2 HD Remaster,24/1/2020,Yippee Entertainment LTD,Kalypso,Real-Time Strategy,Rated T For Teen,2.2,88,"PlayStation 4, PC, Nintendo Switch","tbd, 60, 52","Based on 3 Critic Reviews, Based on 17 Critic Reviews, Based on 8 Critic Reviews"
Hitman - Episode 6: Hokkaido,31/10/2016,Io Interactive,Square Enix,Action Adventure,Not Rated,7,24,"Xbox One, PlayStation 4, PC","tbd, 81, 83","Based on 3 Critic Reviews, Based on 21 Critic Reviews, Based on 5 Critic Reviews"
When Ski Lifts Go Wrong,23/1/2019,Huge Calf Studios,Curve Digital,Skiing,Rated T For Teen,2.9,8,"PC, Nintendo Switch","80, 72","Based on 5 Critic Reviews, Based on 8 Critic Reviews"
Fortix 2,6/5/2011,Nemesys,Nemesys,Action Puzzle,Not Rated,6.8,37,"PC, PSP","74, tbd","Based on 8 Critic Reviews, Based on 1 Critic Review"
Rooms: The Main Building,23/3/2010,HandMade Game,Hudson Entertainment,Puzzle,Rated E For Everyone,6.894852313,,"DS, Wii","56, 60","Based on 23 Critic Reviews, Based on 8 Critic Reviews"
The Sims 2: Open for Business,28/2/2006,Maxis,EA Games,Virtual Life,Rated T For Teen,8.7,26,PC,78,Based on 29 Critic Reviews
Tetris Ultimate,11/11/2014,Ubisoft San Francisco,Ubisoft,Stacking Puzzle,Rated E For Everyone,4.9,22,"PlayStation 4, Xbox One, PC, PlayStation Vita, 3DS","63, 59, tbd, tbd, 68","Based on 5 Critic Reviews, Based on 8 Critic Reviews, Based on 2 Critic Reviews, Based on 2 Critic Reviews, Based on 12 Critic Reviews"
DeathSpank: Thongs of Virtue,21/9/2010,Hothead Games,EA Partners,Action RPG,Rated T For Teen,7.9,21,"PC, PlayStation 3, Xbox 360","78, 78, 78","Based on 9 Critic Reviews, Based on 23 Critic Reviews, Based on 21 Critic Reviews"
Outland,27/4/2011,Housemarque,Ubisoft,2D Platformer,Rated E +10 For Everyone +10,7.4,61,"Xbox 360, PlayStation 3, PC","84, 83, 79","Based on 55 Critic Reviews, Based on 28 Critic Reviews, Based on 9 Critic Reviews"
Hakuoki: Memories of the Shinsengumi,19/9/2013,Idea Factory,Aksys Games,Visual Novel,Rated M For Mature,7.8,20,3DS,75,Based on 12 Critic Reviews
Panzer Dragoon Orta,12/1/2003,Smilebit,Sega,Rail Shooter,Rated T For Teen,8.6,54,Xbox,90,Based on 41 Critic Reviews
Wylde Flowers,20/9/2022,Studio Drydock Pty Ltd,Studio Drydock Pty Ltd,Virtual Life,Not Rated,8.5,13,"iOS (iPhone/iPad), Nintendo Switch, PC","tbd, tbd, 84","Based on 2 Critic Reviews, Based on 2 Critic Reviews, Based on 8 Critic Reviews"
New Star Soccer,13/3/2012,New Star Games,New Star Games,Soccer Management,Not Rated,7.4,25,iOS (iPhone/iPad),86,Based on 7 Critic Reviews
The Powerpuff Girls: Mojo Jojo A-Go-Go,27/11/2001,Sennari Interactive,Bam Entertainment,Horizontal Shoot-'Em-Up,Rated E For Everyone,7.2,6,Game Boy Advance,60,Based on 11 Critic Reviews
Ooga Booga,13/9/2001,Visual Concepts,Sega,Party,Rated E For Everyone,5.2,10,Dreamcast,81,Based on 11 Critic Reviews
Demon Slayer: Kimetsu no Yaiba - The Hinokami Chronicles,13/10/2021,CyberConnect2,Sega,3D Fighting,Rated T For Teen,7.3,74,"PlayStation 4, PlayStation 5, PC, Xbox Series X, Xbox One, Nintendo Switch","70, 69, tbd, 82, tbd, 74","Based on 13 Critic Reviews, Based on 32 Critic Reviews, Based on 2 Critic Reviews, Based on 4 Critic Reviews, Based on 3 Critic Reviews, Based on 15 Critic Reviews"
Alien: Blackout,24/1/2019,D3 Go!,FoxNext Games,Survival,Not Rated,3.5,22,iOS (iPhone/iPad),68,Based on 14 Critic Reviews
FIFA 22,27/9/2021,EA Canada,Electronic Arts,Soccer Sim,Rated E For Everyone,3.1,558,"PC, Xbox Series X, PlayStation 5, PlayStation 4, Xbox One, Nintendo Switch","73, 78, 78, tbd, tbd, tbd","Based on 4 Critic Reviews, Based on 23 Critic Reviews, Based on 63 Critic Reviews, Based on 3 Critic Reviews, Based on 1 Critic Review, Based on 3 Critic Reviews"
World Soccer Winning Eleven 7 International,17/2/2004,KCET,Konami,Soccer Sim,Rated E For Everyone,7.2,33,"PC, PlayStation 2","92, 93","Based on 7 Critic Reviews, Based on 28 Critic Reviews"
Kinect Joy Ride,4/11/2010,BigPark,Microsoft Game Studios,Auto Racing,Rated E For Everyone,5.4,24,Xbox 360,52,Based on 46 Critic Reviews
Circuit Superstars,12/10/2021,Original Fire Games,Square Enix,Auto Racing,Rated E For Everyone,6.1,11,"PC, PlayStation 4, Xbox One","82, tbd, 77","Based on 7 Critic Reviews, Based on 2 Critic Reviews, Based on 5 Critic Reviews"
Ultra Street Fighter II: The Final Challengers,26/5/2017,Capcom,Capcom,2D Fighting,Rated T For Teen,6.7,186,Nintendo Switch,66,Based on 69 Critic Reviews
MLB Slugfest 20-04,16/3/2003,Criterion Games,Midway,Baseball,Rated E For Everyone,6.5,,"PlayStation 2, Xbox, Game Boy Advance, GameCube","78, 76, 43, 76","Based on 23 Critic Reviews, Based on 16 Critic Reviews, Based on 7 Critic Reviews, Based on 14 Critic Reviews"
Trigger Fist,8/8/2012,Lake Effect Applications,Lake Effect Applications,Action,Not Rated,7.1,10,iOS (iPhone/iPad),84,Based on 11 Critic Reviews
The Tomb Raider Trilogy,22/3/2011,Crystal Dynamics,Square Enix,Compilation,Rated T For Teen,7.9,90,PlayStation 3,78,Based on 37 Critic Reviews
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,26/2/2013,Gaijin Games,Gaijin Games,Rhythm,Rated T For Teen,8.1,166,"PC, PlayStation 3, Xbox 360, Wii U, PlayStation Vita, PlayStation 4","85, 86, 87, 84, 83, tbd","Based on 23 Critic Reviews, Based on 9 Critic Reviews, Based on 11 Critic Reviews, Based on 18 Critic Reviews, Based on 7 Critic Reviews, Based on 1 Critic Review"
Slipstream,7/4/2022,ansdor,BlitWorks,Auto Racing,Rated E For Everyone,7.8,14,"PC, Nintendo Switch, Xbox One, PlayStation 5, PlayStation 4","75, 70, 75, tbd, 74","Based on 4 Critic Reviews, Based on 11 Critic Reviews, Based on 7 Critic Reviews, Based on 1 Critic Review, Based on 7 Critic Reviews"
Go! Puzzle,14/6/2007,Zoonami Ltd.,SCEA,Puzzle,Rated E For Everyone,6.894852313,,PlayStation 3,62,Based on 8 Critic Reviews
Monster House,18/7/2006,Artificial Mind and Movement,THQ,Survival,Rated E +10 For Everyone +10,5.6,8,"DS, PlayStation 2, Game Boy Advance, GameCube","62, 59, 69, 60","Based on 14 Critic Reviews, Based on 27 Critic Reviews, Based on 10 Critic Reviews, Based on 18 Critic Reviews"
Mario & Luigi: Dream Team,11/8/2013,Alphadream Corporation,Nintendo,JRPG,Rated E +10 For Everyone +10,8.3,402,3DS,81,Based on 75 Critic Reviews
Espgaluda II -Be Ascension. The Third Bright Stone of Birth-,10/4/2010,Cave,Cave,Vertical Shoot-'Em-Up,Not Rated,6.894852313,,"iOS (iPhone/iPad), Nintendo Switch","88, 82","Based on 11 Critic Reviews, Based on 7 Critic Reviews"
Endless Ages,27/6/2003,Avaria,Summitsoft Entertainment,MMORPG,Rated T For Teen,6.894852313,,PC,55,Based on 8 Critic Reviews
Burnout (2001),1/11/2001,Criterion Games,Acclaim,Auto Racing,Rated E For Everyone,7.3,35,"GameCube, Xbox, PlayStation 2","78, 75, 79","Based on 18 Critic Reviews, Based on 13 Critic Reviews, Based on 25 Critic Reviews"
Army Men Advance,5/6/2001,DC Studios,3DO,Top-Down Shoot-'Em-Up,Rated E For Everyone,7.5,,Game Boy Advance,57,Based on 7 Critic Reviews
Zeus: Master of Olympus,22/10/2000,Impressions Games,Sierra Entertainment,Management,Rated E For Everyone,8.6,90,PC,87,Based on 23 Critic Reviews
Cruis'n,27/11/2007,Midway Studios - San Diego,Midway,Auto Racing,Rated E For Everyone,4.8,12,Wii,25,Based on 7 Critic Reviews
Disney Universe,25/10/2011,Eurocom,Disney Interactive Studios,Action Adventure,Rated E +10 For Everyone +10,5.9,19,"Xbox 360, PlayStation 3, Wii, PC","66, 70, 61, tbd","Based on 31 Critic Reviews, Based on 29 Critic Reviews, Based on 11 Critic Reviews, Based on 2 Critic Reviews"
Unmechanical: Extended Edition,10/2/2015,Grip Games,Grip Games,2D Platformer,Rated E For Everyone,6.8,40,"PlayStation 4, Xbox One","75, 66","Based on 14 Critic Reviews, Based on 14 Critic Reviews"
Bust-A-Move Universe,27/3/2011,Arika,Square Enix,Matching Puzzle,Rated E For Everyone,4.9,14,3DS,49,Based on 30 Critic Reviews
Absolute Drift,3/12/2020,Funselektor Labs Inc.,Funselektor Labs Inc.,Auto Racing,Rated E For Everyone,5,6,"PC, iOS (iPhone/iPad), Nintendo Switch, PlayStation 4, Xbox One","66, tbd, 70, 78, tbd","Based on 6 Critic Reviews, Based on 1 Critic Review, Based on 10 Critic Reviews, Based on 4 Critic Reviews, Based on 1 Critic Review"
Skydive: Proximity Flight,1/10/2013,Gaijin Entertainment,Gaijin Entertainment,Individual Sports,Rated E For Everyone,6.894852313,,"PlayStation 3, Xbox 360","62, 56","Based on 14 Critic Reviews, Based on 5 Critic Reviews"
Spelunky 2,15/9/2020,Mossmouth,Mossmouth,2D Platformer,Rated T For Teen,7.8,94,"PlayStation 4, PC, Nintendo Switch, Xbox Series X","87, 91, 92, tbd","Based on 42 Critic Reviews, Based on 19 Critic Reviews, Based on 4 Critic Reviews, Based on 1 Critic Review"
Mercenary Kings: Reloaded Edition,6/2/2018,Tribute Games,Tribute Games,Horizontal Shoot-'Em-Up,Rated T For Teen,6.1,7,"PlayStation Vita, Xbox One, PC, Nintendo Switch","tbd, 75, tbd, 69","Based on 1 Critic Review, Based on 6 Critic Reviews, Based on 1 Critic Review, Based on 8 Critic Reviews"
Cloudpunk,23/4/2020,ION LANDS,ION LANDS,Open-World Action,Not Rated,7.6,127,"PC, Xbox One, PlayStation 4, Nintendo Switch, PlayStation 5","73, 69, 64, 54, tbd","Based on 42 Critic Reviews, Based on 4 Critic Reviews, Based on 16 Critic Reviews, Based on 9 Critic Reviews, Based on 1 Critic Review"
Dead Rising 2,28/9/2010,Blue Castle Games,Capcom,Open-World Action,Rated M For Mature,7.1,269,"Xbox 360, PlayStation 3, PC, PlayStation 4, Xbox One","79, 80, 78, 82, tbd","Based on 76 Critic Reviews, Based on 54 Critic Reviews, Based on 17 Critic Reviews, Based on 4 Critic Reviews, Based on 2 Critic Reviews"
UEFA Euro 2012,24/4/2012,EA Canada,EA Sports,Soccer Sim,Rated E For Everyone,2.8,33,"Xbox 360, PlayStation 3, PC","70, 65, 64","Based on 21 Critic Reviews, Based on 19 Critic Reviews, Based on 7 Critic Reviews"
Hakuoki: Edo Blossoms,13/3/2018,Otomate,Idea Factory,Visual Novel,Rated M For Mature,6.8,13,PlayStation Vita,75,Based on 9 Critic Reviews
Sneaky Sneaky,10/12/2014,Naiad Entertainment,Naiad Entertainment,Adventure,Not Rated,6.894852313,,"PC, iOS (iPhone/iPad)","63, 82","Based on 5 Critic Reviews, Based on 8 Critic Reviews"
Castaway Paradise,31/7/2018,Stolen Couch Games,Stolen Couch Games,Virtual Life,Rated E For Everyone,6.894852313,,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS (iPhone/iPad)","tbd, 46, 66, 60, tbd","Based on 1 Critic Review, Based on 6 Critic Reviews, Based on 8 Critic Reviews, Based on 4 Critic Reviews, Based on 3 Critic Reviews"
Tiger Woods PGA Tour 12: The Masters,29/3/2011,Electronic Arts,Electronic Arts,Golf Sim,Rated E For Everyone,6.1,27,"Xbox 360, Wii, PlayStation 3, PC","80, 85, 80, 43","Based on 50 Critic Reviews, Based on 14 Critic Reviews, Based on 41 Critic Reviews, Based on 4 Critic Reviews"
Hybrid (2012),8/8/2012,5TH Cell,Microsoft Game Studios,Tactical Third Person Shooter,Rated T For Teen,7.3,32,Xbox 360,73,Based on 54 Critic Reviews
Wild Wild Racing,25/10/2000,Rage Software,Interplay,Auto Racing Sim,Rated E For Everyone,6.894852313,,PlayStation 2,64,Based on 13 Critic Reviews
Jambo! Safari: Animal Rescue,17/11/2009,Full Fat,Sega,Auto Racing,Rated E For Everyone,6.894852313,,"DS, Wii","tbd, 56","Based on 2 Critic Reviews, Based on 13 Critic Reviews"
Soldier of Fortune: Gold Edition,11/11/2001,Pipe Dream Interactive,Majesco,FPS,Rated M For Mature,8.2,9,PlayStation 2,59,Based on 14 Critic Reviews
Rumble Roses XX,28/3/2006,Konami,Konami,Wrestling,Rated M For Mature,6.8,25,Xbox 360,62,Based on 54 Critic Reviews
Amateur Surgeon 3,8/8/2013,,,Virtual Career,Not Rated,6.894852313,,iOS (iPhone/iPad),75,Based on 12 Critic Reviews
Pixel Piracy,16/2/2016,Abstraction Games,505 Games,Real-Time Strategy,Rated T For Teen,2.4,7,"PlayStation 4, Xbox One","50, 53","Based on 7 Critic Reviews, Based on 7 Critic Reviews"
Professor Layton and the Last Specter,18/10/2011,Level 5,Nintendo,Puzzle,Rated E +10 For Everyone +10,8.1,97,DS,83,Based on 58 Critic Reviews
Railroad Tycoon II,2/11/1998,PopTop Software,Gathering,Tycoon,Rated E For Everyone,8.4,80,PC,89,Based on 11 Critic Reviews
Ninja Gaiden Black,20/9/2005,Team Ninja,Tecmo,Action Adventure,Rated M For Mature,8.8,187,Xbox,94,Based on 32 Critic Reviews
Sea Trader: Rise of Taipan,3/1/2003,Jaleco Entertainment,Jaleco Entertainment,Turn-Based Strategy,Rated T For Teen,6.894852313,,Game Boy Advance,68,Based on 7 Critic Reviews
Silent Hunter II,5/11/2001,Ultimation Inc.,SSI,Marine Combat Sim,Rated E For Everyone,8.2,12,PC,71,Based on 12 Critic Reviews
Wizardry: Labyrinth of Lost Souls,16/5/2011,Acquire,XSEED Games,Western RPG,Rated T For Teen,5.6,14,"iOS (iPhone/iPad), PlayStation 3, PC","tbd, 57, 61","Based on 2 Critic Reviews, Based on 9 Critic Reviews, Based on 9 Critic Reviews"
Grand Theft Auto 2,25/10/1999,DMA Design,Rockstar Games,Open-World Action,Rated T For Teen,7.6,150,PlayStation,70,Based on 15 Critic Reviews
Icewind Dale: Enhanced Edition,30/10/2014,Overhaul Games,Beamdog,Western RPG,Not Rated,7.5,150,"PC, iOS (iPhone/iPad)","80, 83","Based on 13 Critic Reviews, Based on 4 Critic Reviews"
Order Up!,22/7/2008,SuperVillain Studios,Zoo Games,Virtual Career,Rated E For Everyone,7.2,12,Wii,76,Based on 25 Critic Reviews
D2,22/8/2000,WARP,Sega,Survival,Rated M For Mature,8,9,Dreamcast,69,Based on 15 Critic Reviews
Celebrity Bodyguard,16/4/2011,Bravo,Bravo,Action,Not Rated,6.894852313,,iOS (iPhone/iPad),53,Based on 7 Critic Reviews
Final Fantasy XI: Chains of Promathia,21/9/2004,Square Enix,Square Enix,MMORPG,Rated T For Teen,8.4,18,"PC, PlayStation 2","73, 77","Based on 13 Critic Reviews, Based on 13 Critic Reviews"
Shiren the Wanderer: The Tower of Fortune and the Dice of Fate,26/7/2016,Spike Chunsoft,Aksys Games,Roguelike,Rated E +10 For Everyone +10,8.3,27,"Nintendo Switch, PlayStation Vita, PC","75, 79, tbd","Based on 12 Critic Reviews, Based on 25 Critic Reviews, Based on 2 Critic Reviews"
DreamWorks Kung Fu Panda 2,24/5/2011,THQ,THQ,Action Adventure,Rated E +10 For Everyone +10,4.3,6,"Xbox 360, PlayStation 3, Wii, DS","50, 31, 39, 59","Based on 18 Critic Reviews, Based on 7 Critic Reviews, Based on 5 Critic Reviews, Based on 4 Critic Reviews"
Game of Thrones: Episode One - Iron From Ice,2/12/2014,Telltale Games,Telltale Games,Point-and-Click,Rated M For Mature,7.4,305,"Xbox One, PlayStation 4, PC, Xbox 360","80, 77, 75, 72","Based on 14 Critic Reviews, Based on 18 Critic Reviews, Based on 44 Critic Reviews, Based on 4 Critic Reviews"
Group S Challenge,11/11/2003,Capcom,Capcom,Auto Racing Sim,Rated E For Everyone,6.894852313,,Xbox,57,Based on 17 Critic Reviews
NHL 2003,30/9/2002,EA Sports,Electronic Arts,Hockey Sim,Rated E For Everyone,7.4,8,"PlayStation 2, Xbox, GameCube, PC","79, 80, 79, 75","Based on 20 Critic Reviews, Based on 12 Critic Reviews, Based on 13 Critic Reviews, Based on 12 Critic Reviews"
Ferrari F355 Challenge,28/9/2002,TOSE,Sega,Auto Racing Sim,Rated E For Everyone,6.894852313,,PlayStation 2,70,Based on 14 Critic Reviews
Full Spectrum Warrior,1/6/2004,Pandemic Studios,THQ,Real-Time Strategy,Rated M For Mature,7.6,13,"PC, PlayStation 2, Xbox","80, 74, 84","Based on 26 Critic Reviews, Based on 24 Critic Reviews, Based on 67 Critic Reviews"
Dracula: The Resurrection,14/6/2000,Canal+ Multimedia,DreamCatcher Interactive,Point-and-Click,Rated M For Mature,6.5,24,PC,67,Based on 13 Critic Reviews
